Index,Key
0,1
0,3
0,4
0,5
0,12
0,22
0,25
0,32
0,33
0,47
0,56
0,58
0,73
0,79
0,81
0,82
0,84
0,87
0,90
0,91
0,92
0,100
0,111
0,124
0,131
0,134
0,135
0,140
0,141
0,145
0,147
0,155
0,156
0,157
0,171
0,183
0,190
0,197
0,198
0,203
0,220
0,244
0,253
0,256
0,263
0,265
0,273
0,274
0,278
0,279
0,280
0,283
0,296
0,297
0,303
0,315
0,340
0,344
0,348
0,351
0,354
0,356
0,381
0,383
0,404
0,408
0,409
0,410
0,412
0,413
0,421
0,429
0,430
0,431
0,435
0,436
0,440
0,441
0,446
0,454
0,460
0,465
0,473
0,474
0,484
0,489
0,493
0,498
0,499
0,508
0,509
0,533
0,540
0,541
0,542
0,544
0,545
0,546
0,547
0,552
1,554
1,564
1,567
1,568
1,578
1,579
1,594
1,596
1,618
1,625
1,633
1,639
1,644
1,656
1,664
1,667
1,674
1,680
1,683
1,687
1,693
1,700
1,709
1,715
1,718
1,721
1,726
1,728
1,731
1,744
1,749
1,756
1,764
1,765
1,766
1,779
1,780
1,781
1,789
1,796
1,801
1,802
1,809
1,817
1,821
1,824
1,829
1,832
1,834
1,836
1,838
1,842
1,844
1,848
1,849
1,868
1,871
1,875
1,876
1,880
1,882
1,885
1,886
1,887
1,888
1,892
1,914
1,915
1,917
1,921
1,926
1,927
1,928
1,931
1,934
1,935
1,936
1,944
1,954
1,955
1,958
1,959
1,960
1,973
1,974
1,993
1,995
1,999
1,1000
1,1008
1,1012
1,1014
1,1019
1,1022
1,1025
1,1027
1,1030
1,1035
1,1039
1,1049
2,1058
2,1068
2,1080
2,1081
2,1091
2,1095
2,1098
2,1100
2,1105
2,1111
2,1119
2,1124
2,1129
2,1134
2,1136
2,1141
2,1144
2,1145
2,1171
2,1182
2,1186
2,1191
2,1201
2,1208
2,1209
2,1210
2,1211
2,1212
2,1222
2,1226
2,1237
2,1239
2,1243
2,1247
2,1248
2,1249
2,1253
2,1254
2,1259
2,1268
2,1272
2,1274
2,1277
2,1289
2,1291
2,1294
2,1296
2,1297
2,1300
2,1301
2,1304
2,1316
2,1317
2,1319
2,1320
2,1324
2,1325
2,1326
2,1336
2,1338
2,1341
2,1346
2,1348
2,1351
2,1352
2,1356
2,1358
2,1359
2,1360
2,1363
2,1364
2,1366
2,1378
2,1380
2,1382
2,1385
2,1387
2,1388
2,1412
2,1424
2,1426
2,1429
2,1440
2,1444
2,1447
2,1454
2,1467
2,1472
2,1480
2,1482
2,1483
2,1487
2,1488
2,1493
2,1495
2,1509
2,1510
2,1513
2,1514
2,1520
3,1521
3,1522
3,1523
3,1531
3,1533
3,1534
3,1546
3,1554
3,1557
3,1558
3,1559
3,1561
3,1563
3,1565
3,1566
3,1578
3,1579
3,1582
3,1583
3,1591
3,1596
3,1600
3,1603
3,1608
3,1610
3,1611
3,1612
3,1617
3,1618
3,1641
3,1658
3,1659
3,1660
3,1667
3,1691
3,1700
3,1704
3,1709
3,1710
3,1716
3,1722
3,1723
3,1728
3,1731
3,1738
3,1739
3,1740
3,1743
3,1744
3,1745
3,1753
3,1755
3,1762
3,1767
3,1780
3,1781
3,1788
3,1802
3,1807
3,1811
3,1823
3,1827
3,1830
3,1831
3,1834
3,1837
3,1838
3,1855
3,1856
3,1859
3,1862
3,1867
3,1869
3,1878
3,1880
3,1881
3,1890
3,1894
3,1897
3,1901
3,1908
3,1910
3,1924
3,1926
3,1930
3,1937
3,1941
3,1944
3,1947
3,1955
3,1959
3,1979
3,1985
3,1988
3,1991
3,1992
3,1997
3,1998
3,1999
3,2000
4,2006
4,2010
4,2012
4,2022
4,2024
4,2025
4,2027
4,2029
4,2034
4,2037
4,2038
4,2044
4,2045
4,2046
4,2055
4,2056
4,2059
4,2065
4,2071
4,2075
4,2076
4,2077
4,2079
4,2080
4,2081
4,2089
4,2090
4,2091
4,2092
4,2097
4,2100
4,2105
4,2126
4,2127
4,2138
4,2142
4,2143
4,2144
4,2153
4,2160
4,2167
4,2168
4,2170
4,2175
4,2185
4,2186
4,2201
4,2218
4,2221
4,2228
4,2233
4,2240
4,2242
4,2243
4,2249
4,2253
4,2255
4,2257
4,2267
4,2278
4,2285
4,2293
4,2295
4,2305
4,2321
4,2356
4,2357
4,2366
4,2376
4,2394
4,2404
4,2412
4,2415
4,2417
4,2418
4,2434
4,2457
4,2460
4,2464
4,2487
4,2489
4,2491
4,2492
4,2493
4,2496
4,2508
4,2509
4,2514
4,2521
4,2522
4,2526
4,2527
4,2529
4,2535
4,2536
4,2540
4,2544
4,2545
4,2547
4,2552
5,2556
5,2562
5,2575
5,2581
5,2582
5,2588
5,2589
5,2594
5,2596
5,2597
5,2598
5,2599
5,2601
5,2606
5,2607
5,2609
5,2621
5,2623
5,2626
5,2634
5,2652
5,2663
5,2666
5,2667
5,2669
5,2672
5,2676
5,2680
5,2699
5,2708
5,2710
5,2720
5,2726
5,2727
5,2728
5,2729
5,2730
5,2733
5,2735
5,2738
5,2742
5,2744
5,2746
5,2755
5,2761
5,2762
5,2764
5,2765
5,2766
5,2775
5,2779
5,2794
5,2795
5,2800
5,2801
5,2803
5,2813
5,2816
5,2818
5,2819
5,2825
5,2826
5,2828
5,2842
5,2846
5,2858
5,2860
5,2861
5,2863
5,2865
5,2866
5,2867
5,2872
5,2875
5,2879
5,2880
5,2902
5,2915
5,2922
5,2925
5,2938
5,2939
5,2947
5,2952
5,2953
5,2957
5,2958
5,2959
5,2962
5,2964
5,2974
